state;district;year;full_name;party;grade
IA;District 4;2016;Kim Weaver;D;F
ID;District 1;2016;Raúl Labrador;R;A
ID;District 1;2016;James Piotrowski;D;?
ID;District 2;2016;Jennifer Martinez;D;?
ID;District 2;2016;Mike Simpson;R;A+
IL;District 1;2016;Bobby Rush;D;F
IL;District 1;2016;August Deuser;R;AQ
IL;District 10;2016;Bob Dold;R;F
IL;District 10;2016;Brad Schneider;D;F
IL;District 11;2016;Bill Foster;D;F
IL;District 11;2016;Tonia Khouri;R;AQ
IL;District 12;2016;C.J. Baricevic;D;?
IL;District 12;2016;Mike Bost;R;A
IL;District 13;2016;Rodney Davis;R;A
IL;District 13;2016;Mark Wicklund;D;?
IL;District 14;2016;Jim Walz;D;?
IL;District 14;2016;Randy Hultgren;R;A
IL;District 15;2016;John Shimkus;R;A
IL;District 16;2016;Adam Kinzinger;R;A
IL;District 17;2016;Cheri Bustos;D;C
IL;District 17;2016;Patrick Harlan;R;AQ
IL;District 18;2016;Darin LaHood;R;A
IL;District 18;2016;Junius Rodriguez;D;F
IL;District 2;2016;Robin Kelly;D;F
IL;District 2;2016;John Morrow;R;D
IL;District 3;2016;Dan Lipinski;D;F
IL;District 3;2016;Ken McGraw, Jr.;R;?
IL;District 4;2016;Luis Gutierrez;D;F
IL;District 5;2016;Vince Kolber;R;?
IL;District 5;2016;Mike Quigley;D;F
IL;District 6;2016;Peter Roskam;R;A
IL;District 6;2016;Amanda Howland;D;?
IL;District 7;2016;Jeffrey Leef;R;?
IL;District 7;2016;Danny K. Davis;D;F
IL;District 8;2016;Raja Krishnamoorthi;D;F
IL;District 8;2016;Pete DiCianni;R;B-
IL;District 9;2016;Joan McCarthy Lasonde;R;?
IL;District 9;2016;Jan Schakowsky;D;F
IN;District 1;2016;Peter Visclosky;D;F
IN;District 2;2016;Lynn Coleman;D;?
IN;District 2;2016;Jackie Walorski;R;A
IN;District 3;2016;Tommy Schrader;D;?
IN;District 3;2016;Jim Banks;R;A+
IN;District 4;2016;Todd Rokita;R;A
IN;District 4;2016;John Dale;D;?
IN;District 5;2016;Susan Brooks;R;A
IN;District 5;2016;Angela Demaree;D;?
IN;District 6;2016;Barry Welsh;D;?
IN;District 6;2016;Luke Messer;R;A
IN;District 7;2016;André Carson;D;F
IN;District 7;2016;"Catherine ""Cat"" Ping";R;AQ
IN;District 8;2016;Larry Bucshon;R;A
IN;District 8;2016;Ron Drake;D;?
IN;District 9;2016;Trey Hollingsworth;R;AQ
IN;District 9;2016;Shelli Yoder;D;?
KS;District 1;2016;Roger Marshall;R;AQ
KS;District 2;2016;Britani Potter;D;?
KS;District 2;2016;Lynn Jenkins;R;A
KS;District 3;2016;Jay Sidie;D;D
KS;District 3;2016;Kevin Yoder;R;A
KS;District 4;2016;Mike Pompeo;R;A
KS;District 4;2016;Dan Giroux;D;?
KY;District 1;2016;Sam Gaskins;D;AQ
KY;District 1;2016;James Comer;R;A
KY;District 2;2016;Brett Guthrie;R;A
KY;District 3;2016;John Yarmuth;D;F
KY;District 3;2016;Harold Bratcher;R;?
KY;District 4;2016;Thomas Massie;R;A
KY;District 4;2016;Calvin Sidle;D;?
KY;District 5;2016;Hal Rogers;R;A
KY;District 6;2016;Andy Barr;R;A
KY;District 6;2016;Nancy Jo Kemper;D;F
LA;District 1;2016;Eliot Barron;G;?
LA;District 1;2016;Joe Swider;D;?
LA;District 1;2016;Steve Scalise;R;A+
LA;District 1;2016;Chuemai Yang;I;C-
LA;District 1;2016;Lee Dugas;D;F
LA;District 1;2016;Howard Kearney;L;AQ
LA;District 1;2016;Danil Faust;D;AQ
LA;District 2;2016;Samuel Davenport;L;?
LA;District 2;2016;Kip Holden;D;F
LA;District 2;2016;Cedric Richmond;D;F
LA;District 2;2016;Kenneth Cutno;D;?
LA;District 3;2016;Guy McLendon;L;AQ
LA;District 3;2016;Brett Geymann;R;A
LA;District 3;2016;"Jake ""Dorian Phibian"" Hebert";D;F
LA;District 3;2016;Bryan Barrilleaux;R;AQ
LA;District 3;2016;Gus Rantz;R;AQ
LA;District 3;2016;Scott Angelle;R;A
LA;District 3;2016;Kenny Scelfo;I;?
LA;District 3;2016;Clay Higgins;R;AQ
LA;District 3;2016;Grover Rees;R;AQ
LA;District 3;2016;Greg Ellison;R;AQ
LA;District 3;2016;Larry Rader;D;?
LA;District 3;2016;Herman Vidrine;R;AQ
LA;District 4;2016;Mike Johnson;R;A
LA;District 4;2016;Rick John;R;AQ
LA;District 4;2016;Ken Krefft;I;?
LA;District 4;2016;Elbert Guillory;R;A
LA;District 4;2016;Marshall Jones, Jr.;D;?
LA;District 4;2016;Oliver Jenkins;R;AQ
LA;District 4;2016;Mark Halverson;I;?
LA;District 4;2016;Trey Baucum;R;AQ
LA;District 5;2016;Billy Burkette;R;?
LA;District 5;2016;Ralph Abraham;R;A+
LA;District 6;2016;Devin Graham;I;?
LA;District 6;2016;Richard Fontanesi;L;?
LA;District 6;2016;Bob Bell;R;AQ
LA;District 6;2016;Jermaine Sampson;D;?
LA;District 6;2016;Richard Lieberman;D;?
LA;District 6;2016;Garret Graves;R;A
MA;District 1;2016;Richard Neal;D;F
MA;District 2;2016;Jim McGovern;D;F
MA;District 3;2016;Ann Wofford;R;AQ
MA;District 3;2016;Niki Tsongas;D;F
MA;District 4;2016;Joe Kennedy III;D;F
MA;District 4;2016;Dave Rosa;R;AQ
MA;District 5;2016;Katherine Clark;D;F
MA;District 6;2016;Seth Moulton;D;F
MA;District 7;2016;Mike Capuano;D;F
MA;District 8;2016;Bill Burke;R;F
MA;District 8;2016;Stephen Lynch;D;F
MA;District 9;2016;Bill Keating;D;F
MA;District 9;2016;Mark Alliegro;R;AQ
MD;District 1;2016;Joe Werner;D;?
MD;District 1;2016;Andy Harris;R;A
MD;District 2;2016;Pat McDonough;R;A
MD;District 2;2016;C.A. Dutch Ruppersberger;D;F
MD;District 3;2016;Mark Plaster;R;AQ
MD;District 3;2016;John Sarbanes;D;F
MD;District 4;2016;George McDermott;R;?
MD;District 4;2016;Anthony Brown;D;F
MD;District 5;2016;Steny Hoyer;D;F
MD;District 5;2016;Mark Arness;R;AQ
MD;District 6;2016;John Delaney;D;F
MD;District 6;2016;Amie Hoeber;R;AQ
MD;District 7;2016;Elijah Cummings;D;F
MD;District 7;2016;Corrogan Vaughn;R;AQ
MD;District 8;2016;Dan Cox;R;AQ
MD;District 8;2016;Jamie Raskin;D;F
ME;District 1;2016;Mark Holbrook;R;AQ
ME;District 1;2016;Chellie Pingree;D;F
ME;District 2;2016;Emily Cain;D;?
ME;District 2;2016;Bruce Poliquin;R;A
MI;District 1;2016;Jack Bergman;R;AQ
MI;District 1;2016;Lon Johnson;D;AQ
MI;District 10;2016;Frank Accavitti, Jr.;D;D
MI;District 10;2016;Paul Mitchell;R;AQ
MI;District 11;2016;Dave Trott;R;A
MI;District 11;2016;Anil Kumar;D;F
MI;District 12;2016;Debbie Dingell;D;F
MI;District 12;2016;Jeff Jones;R;AQ
MI;District 13;2016;John Conyers, Jr.;D;F
MI;District 13;2016;Jeff Gorman;R;AQ
MI;District 14;2016;Howard Klausner;R;?
MI;District 14;2016;Brenda Lawrence;D;F
MI;District 2;2016;Bill Huizenga;R;A
MI;District 2;2016;Dennis Murphy;D;?
MI;District 3;2016;Justin Amash;R;B-
MI;District 3;2016;Douglas Smith;D;?
MI;District 4;2016;John Moolenaar;R;A
MI;District 5;2016;Dan Kildee;D;F
MI;District 5;2016;Al Hardwick;R;AQ
MI;District 6;2016;Paul Clements;D;?
MI;District 6;2016;Fred Upton;R;A
MI;District 7;2016;Gretchen Driskell;D;F
MI;District 7;2016;Tim Walberg;R;A
MI;District 8;2016;Mike Bishop;R;A
MI;District 8;2016;Suzanna Shkreli;D;D
MI;District 9;2016;Sander Levin;D;F
MI;District 9;2016;Chris Morse;R;AQ
MN;District 1;2016;Tim Walz;L;A
MN;District 1;2016;Jim Hagedorn;R;AQ
MN;District 2;2016;Angie Craig;L;F
MN;District 2;2016;Jason Lewis;R;AQ
MN;District 3;2016;Erik Paulsen;R;A
MN;District 3;2016;Terri Bonoff;L;D
MN;District 4;2016;Betty McCollum;L;F
MN;District 4;2016;Greg Ryan;R;AQ
MN;District 5;2016;Keith Ellison;L;F
MN;District 5;2016;Frank Drake;R;AQ
MN;District 6;2016;Tom Emmer;R;A+
